Year,England,Netherlands,Germany,France,Spain,Italy
1500,0,0,0,0,0,0
1520,0,0,0,0,0,0
1540,1,0,0,0,0,0
1560,1,0,0,0,0,0
1580,1,1,0,0,0,0
1600,1,1,0,0,0,0
1620,1,1,0,0,0,0
1640,1,1,0,0,0,0
1660,1,1,0,0,0,0
1680,1,1,0,0,0,0
1700,1,1,0,0,0,0
1720,1,1,0,0,0,0
1740,1,1,0,0,0,0
1760,1,1,0,0,0,0
1780,1,1,0,0,0,0
1800,1,0,0,0,0,0
1820,1,0,0,0,0,0
1840,1,0,0,0,0,0
1860,1,0,0,0,0,0
