nuts_2,country,year,urban_pop_10k,n_cities_10k,largest_city,largest_city_pop,urban_pop_5k,national_urb_ratio,national_total_pop_k,total_pop_est_k,confidence
FRE2,FR,1550,33.0,2,Amiens,22.0,40.0,0.12664234235,16750.0,260.57635532986495,medium
FRE2,FR,1600,37.0,2,Amiens,25.0,51.0,0.1273513514,18500.0,290.53480464283473,high
FRE2,FR,1650,54.0,3,Amiens,30.0,66.0,0.1223809524,21000.0,441.24513611809414,high
FRE2,FR,1700,62.0,3,Amiens,35.0,81.0,0.1381398165,21471.0,448.8206338394839,high
FRE2,FR,1750,63.0,3,Amiens,35.0,89.0,0.1435,24000.0,439.0243902439025,high
FRE2,FR,1800,81.0,4,Amiens,40.0,106.0,0.1352068966,29000.0,599.0818666567931,high
FRE2,FR,1850,110.0,4,Amiens,52.0,138.0,0.1628610729,36350.0,675.4222973069951,high
FRE2,FR,1900,211.0,6,Amiens,91.0,225.0,0.2719099463,40598.0,775.9922094471762,high
FRF1,FR,1500,20.0,1,Strasbourg,20.0,52.0,0.1259333333,15000.0,158.8141874427777,medium
FRF1,FR,1550,22.0,1,Strasbourg,22.0,48.0,0.12664234235,16750.0,173.71757021990996,medium
FRF1,FR,1600,25.0,1,Strasbourg,25.0,47.0,0.1273513514,18500.0,196.3073004343478,high
FRF1,FR,1650,25.0,1,Strasbourg,25.0,46.0,0.1223809524,21000.0,204.28015561022875,high
FRF1,FR,1700,25.0,1,Strasbourg,25.0,46.0,0.1381398165,21471.0,180.97606203204995,high
FRF1,FR,1750,50.0,2,Strasbourg,40.0,67.0,0.1435,24000.0,348.43205574912895,high
FRF1,FR,1800,60.0,2,Strasbourg,49.0,108.0,0.1352068966,29000.0,443.76434567169855,high
FRF1,FR,1850,82.0,2,Strasbourg,66.0,150.0,0.1628610729,36350.0,503.4966216288509,high
FRF1,FR,1900,371.0,8,Strasbourg,151.0,393.0,0.2719099463,40598.0,1364.4223208763144,high
FRF2,FR,1500,43.0,4,Reims,12.0,56.0,0.1259333333,15000.0,341.45050300197204,medium
FRF2,FR,1550,28.0,2,Reims,14.0,58.0,0.12664234235,16750.0,221.09508937079448,medium
FRF2,FR,1600,34.0,2,Troyes,18.0,79.0,0.1273513514,18500.0,266.977928590713,high
FRF2,FR,1650,37.0,2,Reims,20.0,89.0,0.1223809524,21000.0,302.33463030313857,high
FRF2,FR,1700,51.0,3,Reims,25.0,97.0,0.1381398165,21471.0,369.1911665453819,high
FRF2,FR,1750,53.0,3,Reims,25.0,123.0,0.1435,24000.0,369.3379790940767,high
FRF2,FR,1800,100.0,6,Reims,30.0,163.0,0.1352068966,29000.0,739.6072427861643,high
FRF2,FR,1850,165.0,9,Reims,45.0,217.0,0.1628610729,36350.0,1013.1334459604927,high
FRF2,FR,1900,347.0,12,Reims,108.0,377.0,0.2719099463,40598.0,1276.1578041619437,high
FRF3,FR,1500,15.0,1,Metz,15.0,15.0,0.1259333333,15000.0,119.11064058208328,medium
FRF3,FR,1550,17.0,1,Metz,17.0,23.0,0.12664234235,16750.0,134.23630426083952,medium
FRF3,FR,1600,31.0,2,Metz,20.0,31.0,0.1273513514,18500.0,243.42105253859125,high
FRF3,FR,1650,31.0,2,Metz,19.0,31.0,0.1223809524,21000.0,253.30739295668366,high
FRF3,FR,1700,33.0,2,Metz,19.0,38.0,0.1381398165,21471.0,238.88840188230594,high
FRF3,FR,1750,64.0,3,Metz,30.0,86.0,0.1435,24000.0,445.99303135888505,high
